	Model	Training Loss Function	Epochs	LOOKBACK	Hidden Layer Size	Features Number	T-MASE	T-MASE Naive	V-MASE	V-MASE Naive	T-Imporvement %	V-Imporvement %
0	1-LSTM	qd_objective_lstm_c	30	652	80	1	8.037	12.638	1.534	2.703	36.406	9.25
1	1-LSTM	qd_objective_lstm_c	30	48	80	1	8.408	20.57	1.932	3.689	59.125	8.542
2	1-LSTM	qd_objective_lstm_c	100	652	80	1	8.121	12.638	1.534	2.703	35.741	9.25
3	1-LSTM	qd_objective_lstm_c	30	48	40	1	15.44	20.57	2.44	3.689	24.939	6.072
4	1-LSTM	qd_objective_lstm_c	30	48	40	1	14.085	20.57	1.812	3.689	31.526	9.125
5	1-LSTM	qd_objective_lstm_c	10	48	30	1	8.623	20.57	1.778	3.689	58.08	9.29
6	1-LSTM	qd_objective_lstm_c	30	48	40	1	14.594	20.57	1.911	3.689	29.052	8.644
7	3-LSTM	qd_objective_lstm_c	100	48	200	1	14.912	20.57	1.795	3.689	27.506	9.208
8	3-LSTM	qd_objective_lstm_c	10	48	120	1	14.664	20.57	2.088	3.689	28.712	7.783
9	3-LSTM	qd_objective_lstm_c	20	48	50	1	30.924	20.57	5.33	3.689	-50.335	-7.978
10	3-LSTM	qd_objective_lstm_c	10	48	30	1	14.486	20.57	1.789	3.689	29.577	9.237
