	Model	Training Loss Function	Epochs	LOOKBACK	Hidden Layer Size	Features Number	T-MASE	T-MASE Naive	H-MASE	H-MASE Naive	T-Imporvement %	H-Imporvement %
0	3-LSTM	kl_divergance_diff	50	48	120	2	13.407	20.57	1.83	3.689	34.823	50.393
1	3-LSTM	kl_divergance	50	48	200	2	3.45	20.57	1.593	3.689	83.228	56.818
2	3-LSTM	kl_divergance	200	48	20	2	2.079	20.57	1.386	3.689	89.893	62.429
3	3-LSTM	kl_divergance	100	48	30	2	3.204	20.57	1.438	3.689	84.424	61.019
4	3-LSTM	kl_divergance	200	48	60	2	2.674	20.57	1.318	3.689	87.0	64.272
5	3-LSTM	kl_divergance	50	48	30	2	3.58	20.57	1.399	3.689	82.596	62.076
6	3-LSTM	kl_divergance	100	48	70	2	4.474	20.57	1.638	3.689	78.25	55.598
7	3-LSTM	kl_divergance	50	48	200	2	2.78	20.57	1.498	3.689	86.485	59.393
8	3-LSTM	kl_divergance	100	48	10	2	3.477	20.57	1.605	3.689	83.097	56.492
9	3-LSTM	kl_divergance	200	48	20	2	2.71	20.57	1.421	3.689	86.825	61.48
10	3-LSTM	kl_divergance	100	48	40	2	3.282	20.57	1.511	3.689	84.045	59.04
11	3-LSTM	kl_divergance	50	48	30	2	2.836	20.57	1.545	3.689	86.213	58.119
12	3-LSTM	kl_divergance	100	48	30	2	4.509	20.57	1.664	3.689	78.08	54.893
13	3-LSTM	kl_divergance	100	48	30	2	2.837	20.57	1.414	3.689	86.208	61.67
14	3-LSTM	kl_divergance	100	48	20	2	3.402	20.57	1.555	3.689	83.461	57.848
15	3-LSTM	kl_divergance	100	48	30	2	3.362	20.57	1.46	3.689	83.656	60.423
16	3-LSTM	kl_divergance	100	48	50	2	2.844	20.57	1.446	3.689	86.174	60.802
17	3-LSTM	kl_divergance	100	48	50	2	2.79	20.57	1.383	3.689	86.437	62.51
18	4-LSTM	kl_divergance	200	48	40	2	5.304	20.57	1.767	3.689	74.215	52.101
